claim_id,value,unit,source,source_sha256,field,meaning
c1.k96/qscale.BM25_coarse.fr3,-11.495,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,"table[k96/qscale,BM25_coarse/-].fr3_pp","12 B/doc arm minus BM25, fr3"
c1.k96/qscale.BM25_coarse.fr3.lo,-16.519,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...fr3_lo,95% lower bound
c1.k96/qscale.BM25_coarse.fr3.hi,-7.048,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...fr3_hi,95% upper bound
c1.k96/qscale.BM25_coarse.hit10,-5.674,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,"table[k96/qscale,BM25_coarse/-].hit10_pp","12 B/doc arm minus BM25, hit10"
c1.k96/qscale.BM25_coarse.hit10.lo,-12.155,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...hit10_lo,95% lower bound
c1.k96/qscale.BM25_coarse.hit10.hi,0.0,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...hit10_hi,95% upper bound
c1.k192/sym.BM25_coarse.fr3,-5.344,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,"table[k192/sym,BM25_coarse/-].fr3_pp","24 B/doc arm minus BM25, fr3"
c1.k192/sym.BM25_coarse.fr3.lo,-7.201,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...fr3_lo,95% lower bound
c1.k192/sym.BM25_coarse.fr3.hi,-3.656,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...fr3_hi,95% upper bound
c1.k192/sym.BM25_coarse.hit10,-3.546,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,"table[k192/sym,BM25_coarse/-].hit10_pp","24 B/doc arm minus BM25, hit10"
c1.k192/sym.BM25_coarse.hit10.lo,-7.736,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...hit10_lo,95% lower bound
c1.k192/sym.BM25_coarse.hit10.hi,1.135,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...hit10_hi,95% upper bound
c1.k192/qscale.BM25_coarse.fr3,-4.152,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,"table[k192/qscale,BM25_coarse/-].fr3_pp","24 B/doc arm minus BM25, fr3"
c1.k192/qscale.BM25_coarse.fr3.lo,-6.184,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...fr3_lo,95% lower bound
c1.k192/qscale.BM25_coarse.fr3.hi,-2.205,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...fr3_hi,95% upper bound
c1.k192/qscale.BM25_coarse.hit10,0.0,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,"table[k192/qscale,BM25_coarse/-].hit10_pp","24 B/doc arm minus BM25, hit10"
c1.k192/qscale.BM25_coarse.hit10.lo,-4.899,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...hit10_lo,95% lower bound
c1.k192/qscale.BM25_coarse.hit10.hi,5.17,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...hit10_hi,95% upper bound
c1.k384/sym.BM25_coarse.fr3,-2.422,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,"table[k384/sym,BM25_coarse/-].fr3_pp","48 B/doc arm minus BM25, fr3"
c1.k384/sym.BM25_coarse.fr3.lo,-4.274,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...fr3_lo,95% lower bound
c1.k384/sym.BM25_coarse.fr3.hi,-0.827,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...fr3_hi,95% upper bound
c1.k384/sym.BM25_coarse.hit10,-1.135,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,"table[k384/sym,BM25_coarse/-].hit10_pp","48 B/doc arm minus BM25, hit10"
c1.k384/sym.BM25_coarse.hit10.lo,-5.507,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...hit10_lo,95% lower bound
c1.k384/sym.BM25_coarse.hit10.hi,3.134,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...hit10_hi,95% upper bound
c1.k384/qscale.BM25_coarse.fr3,-1.113,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,"table[k384/qscale,BM25_coarse/-].fr3_pp","48 B/doc arm minus BM25, fr3"
c1.k384/qscale.BM25_coarse.fr3.lo,-2.26,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...fr3_lo,95% lower bound
c1.k384/qscale.BM25_coarse.fr3.hi,0.052,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...fr3_hi,95% upper bound
c1.k384/qscale.BM25_coarse.hit10,2.553,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,"table[k384/qscale,BM25_coarse/-].hit10_pp","48 B/doc arm minus BM25, hit10"
c1.k384/qscale.BM25_coarse.hit10.lo,-0.143,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...hit10_lo,95% lower bound
c1.k384/qscale.BM25_coarse.hit10.hi,5.502,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...hit10_hi,95% upper bound
c1.k96/sym.BM25_frozen.fr3,-13.181,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,"table[k96/sym,BM25_frozen/-].fr3_pp","12 B/doc arm minus BM25, fr3"
c1.k96/sym.BM25_frozen.fr3.lo,-17.749,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...fr3_lo,95% lower bound
c1.k96/sym.BM25_frozen.fr3.hi,-9.185,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...fr3_hi,95% upper bound
c1.k96/sym.BM25_frozen.hit10,-15.177,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,"table[k96/sym,BM25_frozen/-].hit10_pp","12 B/doc arm minus BM25, hit10"
c1.k96/sym.BM25_frozen.hit10.lo,-18.824,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...hit10_lo,95% lower bound
c1.k96/sym.BM25_frozen.hit10.hi,-11.741,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...hit10_hi,95% upper bound
c1.k96/qscale.BM25_frozen.fr3,-13.638,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,"table[k96/qscale,BM25_frozen/-].fr3_pp","12 B/doc arm minus BM25, fr3"
c1.k96/qscale.BM25_frozen.fr3.lo,-18.638,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...fr3_lo,95% lower bound
c1.k96/qscale.BM25_frozen.fr3.hi,-9.058,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...fr3_hi,95% upper bound
c1.k96/qscale.BM25_frozen.hit10,-12.057,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,"table[k96/qscale,BM25_frozen/-].hit10_pp","12 B/doc arm minus BM25, hit10"
c1.k96/qscale.BM25_frozen.hit10.lo,-17.549,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...hit10_lo,95% lower bound
c1.k96/qscale.BM25_frozen.hit10.hi,-6.695,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...hit10_hi,95% upper bound
c1.k192/sym.BM25_frozen.fr3,-7.487,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,"table[k192/sym,BM25_frozen/-].fr3_pp","24 B/doc arm minus BM25, fr3"
c1.k192/sym.BM25_frozen.fr3.lo,-9.268,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...fr3_lo,95% lower bound
c1.k192/sym.BM25_frozen.fr3.hi,-6.076,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...fr3_hi,95% upper bound
c1.k192/sym.BM25_frozen.hit10,-9.929,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,"table[k192/sym,BM25_frozen/-].hit10_pp","24 B/doc arm minus BM25, hit10"
c1.k192/sym.BM25_frozen.hit10.lo,-12.62,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...hit10_lo,95% lower bound
c1.k192/sym.BM25_frozen.hit10.hi,-7.265,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...hit10_hi,95% upper bound
c1.k192/qscale.BM25_frozen.fr3,-6.295,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,"table[k192/qscale,BM25_frozen/-].fr3_pp","24 B/doc arm minus BM25, fr3"
c1.k192/qscale.BM25_frozen.fr3.lo,-8.674,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...fr3_lo,95% lower bound
c1.k192/qscale.BM25_frozen.fr3.hi,-4.086,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...fr3_hi,95% upper bound
c1.k192/qscale.BM25_frozen.hit10,-6.383,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,"table[k192/qscale,BM25_frozen/-].hit10_pp","24 B/doc arm minus BM25, hit10"
c1.k192/qscale.BM25_frozen.hit10.lo,-9.944,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...hit10_lo,95% lower bound
c1.k192/qscale.BM25_frozen.hit10.hi,-2.263,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...hit10_hi,95% upper bound
c1.k384/sym.BM25_frozen.fr3,-4.565,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,"table[k384/sym,BM25_frozen/-].fr3_pp","48 B/doc arm minus BM25, fr3"
c1.k384/sym.BM25_frozen.fr3.lo,-6.836,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...fr3_lo,95% lower bound
c1.k384/sym.BM25_frozen.fr3.hi,-2.162,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...fr3_hi,95% upper bound
c1.k384/sym.BM25_frozen.hit10,-7.518,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,"table[k384/sym,BM25_frozen/-].hit10_pp","48 B/doc arm minus BM25, hit10"
c1.k384/sym.BM25_frozen.hit10.lo,-10.854,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...hit10_lo,95% lower bound
c1.k384/sym.BM25_frozen.hit10.hi,-4.286,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...hit10_hi,95% upper bound
c1.k384/qscale.BM25_frozen.fr3,-3.256,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,"table[k384/qscale,BM25_frozen/-].fr3_pp","48 B/doc arm minus BM25, fr3"
c1.k384/qscale.BM25_frozen.fr3.lo,-5.799,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...fr3_lo,95% lower bound
c1.k384/qscale.BM25_frozen.fr3.hi,-0.947,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...fr3_hi,95% upper bound
c1.k384/qscale.BM25_frozen.hit10,-3.83,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,"table[k384/qscale,BM25_frozen/-].hit10_pp","48 B/doc arm minus BM25, hit10"
c1.k384/qscale.BM25_frozen.hit10.lo,-5.742,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...hit10_lo,95% lower bound
c1.k384/qscale.BM25_frozen.hit10.hi,-2.098,pp,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,...hit10_hi,95% upper bound
c1.fidelity,"{""differing_bits"": 0, ""n_bits"": 858624}",json,artifact:f05ba158-4c30-4cd7-b204-86524d3513e5,87319fed47eef34e55a1d7c851747d88619ae05012033439e436de783c409341,fidelity_gate,producer fidelity gate
locomo_gap.mean.A_project,40.955516808903546,pp,artifact:b9f3fc00-cbc3-47db-b6eb-d10374b596d7,954df7aa2bf2028858b7663805897ad686c30627911e03b241e45fda634cc1c8,means_pp.A_project,BM25 FR@3 under document-unit arm
locomo_gap.mean.B_no_captions,40.00212763564468,pp,artifact:b9f3fc00-cbc3-47db-b6eb-d10374b596d7,954df7aa2bf2028858b7663805897ad686c30627911e03b241e45fda634cc1c8,means_pp.B_no_captions,BM25 FR@3 under document-unit arm
locomo_gap.mean.C_plus_timestamps,43.63249835070594,pp,artifact:b9f3fc00-cbc3-47db-b6eb-d10374b596d7,954df7aa2bf2028858b7663805897ad686c30627911e03b241e45fda634cc1c8,means_pp.C_plus_timestamps,BM25 FR@3 under document-unit arm
locomo_gap.mean.D_external_text,42.87879813926529,pp,artifact:b9f3fc00-cbc3-47db-b6eb-d10374b596d7,954df7aa2bf2028858b7663805897ad686c30627911e03b241e45fda634cc1c8,means_pp.D_external_text,BM25 FR@3 under document-unit arm
locomo_gap.mean.E_external_end_to_end,42.958167958048485,pp,artifact:b9f3fc00-cbc3-47db-b6eb-d10374b596d7,954df7aa2bf2028858b7663805897ad686c30627911e03b241e45fda634cc1c8,means_pp.E_external_end_to_end,BM25 FR@3 under document-unit arm
locomo_gap.total_gap_from_project,1.9139431910964504,pp,artifact:b9f3fc00-cbc3-47db-b6eb-d10374b596d7,954df7aa2bf2028858b7663805897ad686c30627911e03b241e45fda634cc1c8,decomposition_pp.total_gap_from_project,gap decomposition
locomo_gap.document_unit,1.9232813303617462,pp,artifact:b9f3fc00-cbc3-47db-b6eb-d10374b596d7,954df7aa2bf2028858b7663805897ad686c30627911e03b241e45fda634cc1c8,decomposition_pp.document_unit,gap decomposition
locomo_gap.image_captions_alone,-0.9533891732588629,pp,artifact:b9f3fc00-cbc3-47db-b6eb-d10374b596d7,954df7aa2bf2028858b7663805897ad686c30627911e03b241e45fda634cc1c8,decomposition_pp.image_captions_alone,gap decomposition
locomo_gap.timestamps_alone,2.676981541802391,pp,artifact:b9f3fc00-cbc3-47db-b6eb-d10374b596d7,954df7aa2bf2028858b7663805897ad686c30627911e03b241e45fda634cc1c8,decomposition_pp.timestamps_alone,gap decomposition
locomo_gap.residual_after_document_unit,-0.009338139265295808,pp,artifact:b9f3fc00-cbc3-47db-b6eb-d10374b596d7,954df7aa2bf2028858b7663805897ad686c30627911e03b241e45fda634cc1c8,decomposition_pp.residual_after_document_unit,gap decomposition
locomo_gap.arm_E_minus_reported,0.08870795804848797,pp,artifact:b9f3fc00-cbc3-47db-b6eb-d10374b596d7,954df7aa2bf2028858b7663805897ad686c30627911e03b241e45fda634cc1c8,decomposition_pp.arm_E_minus_reported,gap decomposition
locomo_gap.captions_docs,1226,count,artifact:b9f3fc00-cbc3-47db-b6eb-d10374b596d7,954df7aa2bf2028858b7663805897ad686c30627911e03b241e45fda634cc1c8,document_differences_found.project_appends_image_captions,documents with appended image captions
locomo_gap.external_reported,42.86946,pp,artifact:b9f3fc00-cbc3-47db-b6eb-d10374b596d7,954df7aa2bf2028858b7663805897ad686c30627911e03b241e45fda634cc1c8,external_reported.value,external package fr3
locomo_gap.external_n,1531,count,artifact:b9f3fc00-cbc3-47db-b6eb-d10374b596d7,954df7aa2bf2028858b7663805897ad686c30627911e03b241e45fda634cc1c8,external_reported.n,external package cohort
locomo_gap.analyser_loose,37.66724010697953,pp,artifact:f8fb5142-b8fc-4def-b684-d1defa6348f4,05454f684b946edd93eb7c90f09b9eb7387c36a50071a7a2bb9817af724a7df6,means_pp.loose,"BM25 FR@3, loose analyser"
locomo_gap.analyser_frozen,40.955516808903546,pp,artifact:f8fb5142-b8fc-4def-b684-d1defa6348f4,05454f684b946edd93eb7c90f09b9eb7387c36a50071a7a2bb9817af724a7df6,means_pp.frozen,"BM25 FR@3, frozen analyser"
locomo_gap.analyser_external,40.955516808903546,pp,artifact:f8fb5142-b8fc-4def-b684-d1defa6348f4,05454f684b946edd93eb7c90f09b9eb7387c36a50071a7a2bb9817af724a7df6,means_pp.external_1_2gram,"BM25 FR@3, external analyser"
p4.units,49,count,artifact:fb2bf452-8989-4c11-ad14-cbaf31d66285,c250317397fa41b99b13db72e17fc0699eeb83c3ef433df530504952344f5260,units_total,claim units in the reading layer
p4.retrieval_units,37,count,artifact:fb2bf452-8989-4c11-ad14-cbaf31d66285,c250317397fa41b99b13db72e17fc0699eeb83c3ef433df530504952344f5260,units_retrieval_estimand,retrieval claims
p4.names.scorer,14,count,artifact:fb2bf452-8989-4c11-ad14-cbaf31d66285,c250317397fa41b99b13db72e17fc0699eeb83c3ef433df530504952344f5260,coverage_over_retrieval_units.scorer,retrieval claims naming this field
p4.names.reference,15,count,artifact:fb2bf452-8989-4c11-ad14-cbaf31d66285,c250317397fa41b99b13db72e17fc0699eeb83c3ef433df530504952344f5260,coverage_over_retrieval_units.reference,retrieval claims naming this field
p4.names.tie,6,count,artifact:fb2bf452-8989-4c11-ad14-cbaf31d66285,c250317397fa41b99b13db72e17fc0699eeb83c3ef433df530504952344f5260,coverage_over_retrieval_units.tie,retrieval claims naming this field
p4.names.metric,11,count,artifact:fb2bf452-8989-4c11-ad14-cbaf31d66285,c250317397fa41b99b13db72e17fc0699eeb83c3ef433df530504952344f5260,coverage_over_retrieval_units.metric,retrieval claims naming this field
p4.names.cohort,20,count,artifact:fb2bf452-8989-4c11-ad14-cbaf31d66285,c250317397fa41b99b13db72e17fc0699eeb83c3ef433df530504952344f5260,coverage_over_retrieval_units.cohort,retrieval claims naming this field
p4.all_five,0,count,artifact:fb2bf452-8989-4c11-ad14-cbaf31d66285,c250317397fa41b99b13db72e17fc0699eeb83c3ef433df530504952344f5260,name_all_five,retrieval claims naming all five fields
p4.trace.claims_citing_a_source_file,8,count,artifact:fb2bf452-8989-4c11-ad14-cbaf31d66285,c250317397fa41b99b13db72e17fc0699eeb83c3ef433df530504952344f5260,provenance_tracing.claims_citing_a_source_file,claim provenance tracing
p4.trace.traced_to_exactly_one_artefact,18,count,artifact:fb2bf452-8989-4c11-ad14-cbaf31d66285,c250317397fa41b99b13db72e17fc0699eeb83c3ef433df530504952344f5260,provenance_tracing.traced_to_exactly_one_artefact,claim provenance tracing
p4.trace.narrowed_to_two_or_three,10,count,artifact:fb2bf452-8989-4c11-ad14-cbaf31d66285,c250317397fa41b99b13db72e17fc0699eeb83c3ef433df530504952344f5260,provenance_tracing.narrowed_to_two_or_three,claim provenance tracing
p4.trace.ambiguous_or_untraced,9,count,artifact:fb2bf452-8989-4c11-ad14-cbaf31d66285,c250317397fa41b99b13db72e17fc0699eeb83c3ef433df530504952344f5260,provenance_tracing.ambiguous_or_untraced,claim provenance tracing
p4.trace.artefacts_indexed,578,count,artifact:fb2bf452-8989-4c11-ad14-cbaf31d66285,c250317397fa41b99b13db72e17fc0699eeb83c3ef433df530504952344f5260,provenance_tracing.artefacts_indexed,claim provenance tracing
n2.project.n,1535,count,artifact:c7547751-16b4-479a-94a4-ba611e5b9def,be6f5e98d5563af9e4f1f15699f130d239793b3cad81caa497a4fc03c9185b2b,project.n_queries,queries
